episode,timestamp,eps,alphaCap,total_reward,win,steps,episode_duration_s,q_max,q_mean
157,2026-05-12T21:09:35.940,0.556825,0.000996,-1.600000,0,1,3.217,1.735296,0.030019
158,2026-05-12T21:09:38.863,0.556550,0.000996,-1.600000,0,1,2.879,1.735296,0.030019
159,2026-05-12T21:09:41.882,0.556275,0.000996,-1.600000,0,1,2.966,1.735296,0.030019
160,2026-05-12T21:09:44.993,0.556000,0.000996,-1.600000,0,1,3.066,1.735296,0.030019
161,2026-05-12T21:09:46.671,0.555725,0.000996,1.400000,0,2,1.630,2.496025,0.058367
162,2026-05-12T21:09:49.899,0.555450,0.000996,-1.600000,0,1,3.187,1.735296,0.030019
163,2026-05-12T21:09:53.007,0.555175,0.000996,-1.600000,0,1,3.062,1.735296,0.030019
164,2026-05-12T21:09:56.095,0.554900,0.000996,-1.600000,0,1,3.040,1.735296,0.030019
165,2026-05-12T21:09:59.347,0.554625,0.000996,-1.600000,0,1,3.208,1.735296,0.030019
166,2026-05-12T21:10:02.249,0.554350,0.000996,-1.600000,0,1,2.858,1.735296,0.030019
167,2026-05-12T21:10:05.286,0.554075,0.000996,-1.600000,0,1,2.999,1.735296,0.030019
168,2026-05-12T21:10:08.546,0.553800,0.000996,-1.600000,0,1,3.219,1.735296,0.030019
169,2026-05-12T21:10:11.666,0.553525,0.000995,-1.600000,0,1,3.076,1.735296,0.030019
170,2026-05-12T21:10:14.634,0.553250,0.000995,-1.600000,0,1,2.916,1.735296,0.030019
171,2026-05-12T21:10:17.771,0.552975,0.000995,-1.600000,0,1,3.097,1.735296,0.030019
172,2026-05-12T21:10:18.837,0.552700,0.000995,0.800000,0,2,1.031,2.496025,0.058367
173,2026-05-12T21:10:21.935,0.552425,0.000995,-1.600000,0,1,3.062,1.735296,0.030019
174,2026-05-12T21:10:25.005,0.552150,0.000995,-1.600000,0,1,3.018,1.735296,0.030019
175,2026-05-12T21:10:28.225,0.551875,0.000995,-1.600000,0,1,3.171,1.735296,0.030019
176,2026-05-12T21:10:31.354,0.551600,0.000995,-1.600000,0,1,3.074,1.735296,0.030019
177,2026-05-12T21:10:34.505,0.551325,0.000995,-1.600000,0,1,3.101,1.735296,0.030019
178,2026-05-12T21:10:37.686,0.551050,0.000995,-1.600000,0,1,3.146,1.735296,0.030019
179,2026-05-12T21:10:40.715,0.550775,0.000995,-1.600000,0,1,2.983,1.735296,0.030019
180,2026-05-12T21:10:43.815,0.550500,0.000995,-1.600000,0,1,3.058,1.735296,0.030019
181,2026-05-12T21:10:47.038,0.550225,0.000995,-1.600000,0,1,3.175,1.735296,0.030019
182,2026-05-12T21:10:50.154,0.549950,0.000995,-1.600000,0,1,3.078,1.735296,0.030019
183,2026-05-12T21:10:53.270,0.549675,0.000995,-1.600000,0,1,3.077,1.735296,0.030019
184,2026-05-12T21:10:56.336,0.549400,0.000995,-1.600000,0,1,3.020,1.735296,0.030019
185,2026-05-12T21:10:59.448,0.549125,0.000995,-1.600000,0,1,3.065,1.735296,0.030019
186,2026-05-12T21:11:02.319,0.548850,0.000995,-1.600000,0,1,2.830,1.735296,0.030019
187,2026-05-12T21:11:05.504,0.548575,0.000995,-2.000000,0,1,3.139,1.735296,0.030019
188,2026-05-12T21:11:08.618,0.548300,0.000995,-1.600000,0,1,3.066,1.735296,0.030019
189,2026-05-12T21:11:11.546,0.548025,0.000995,-1.600000,0,1,2.878,1.735296,0.030019
190,2026-05-12T21:11:14.766,0.547750,0.000995,-1.600000,0,1,3.177,1.735296,0.030019
191,2026-05-12T21:11:17.669,0.547475,0.000995,-2.000000,0,1,2.864,1.735296,0.030019
192,2026-05-12T21:11:20.651,0.547200,0.000995,-1.600000,0,1,2.933,1.735296,0.030019
193,2026-05-12T21:11:23.818,0.546925,0.000995,-1.600000,0,1,3.127,1.735296,0.030019
194,2026-05-12T21:11:26.770,0.546650,0.000995,-1.600000,0,1,2.899,1.735296,0.030019
195,2026-05-12T21:11:30.219,0.546375,0.000995,-1.600000,0,1,3.400,1.735296,0.030019
196,2026-05-12T21:11:33.296,0.546100,0.000995,-1.600000,0,1,3.028,1.735296,0.030019
